file_path,label_name,label_id,video_name,num_frames_raw,num_detected_frames,status
D:\deep_learning_datasets\deep_learning\data\keypoints\a_0000.npy,a,0,a_0002.mp4,75,49,ok
D:\deep_learning_datasets\deep_learning\data\keypoints\a_0001.npy,a,0,a_0003.mp4,76,66,ok
D:\deep_learning_datasets\deep_learning\data\keypoints\a_0002.npy,a,0,a_0004.mp4,76,55,ok
D:\deep_learning_datasets\deep_learning\data\keypoints\a_0003.npy,a,0,a_0005.mp4,76,67,ok
D:\deep_learning_datasets\deep_learning\data\keypoints\a_0004.npy,a,0,a_0006.mp4,77,77,ok
D:\deep_learning_datasets\deep_learning\data\keypoints\a_0005.npy,a,0,a_0007.mp4,77,77,ok
D:\deep_learning_datasets\deep_learning\data\keypoints\a_0006.npy,a,0,a_0008.mp4,76,72,ok
D:\deep_learning_datasets\deep_learning\data\keypoints\a_0007.npy,a,0,a_0009.mp4,76,76,ok
D:\deep_learning_datasets\deep_learning\data\keypoints\a_0008.npy,a,0,a_0010.mp4,76,64,ok
D:\deep_learning_datasets\deep_learning\data\keypoints\a_0009.npy,a,0,a_0011.mp4,76,76,ok
D:\deep_learning_datasets\deep_learning\data\keypoints\a_0010.npy,a,0,a_0012.mp4,76,67,ok
D:\deep_learning_datasets\deep_learning\data\keypoints\a_0011.npy,a,0,a_0013.mp4,76,64,ok
D:\deep_learning_datasets\deep_learning\data\keypoints\a_0012.npy,a,0,a_0014.mp4,77,61,ok
D:\deep_learning_datasets\deep_learning\data\keypoints\a_0013.npy,a,0,a_0015.mp4,77,61,ok
D:\deep_learning_datasets\deep_learning\data\keypoints\a_0014.npy,a,0,a_0016.mp4,76,65,ok
D:\deep_learning_datasets\deep_learning\data\keypoints\a_0015.npy,a,0,a_0017.mp4,76,76,ok
D:\deep_learning_datasets\deep_learning\data\keypoints\a_0016.npy,a,0,a_0018.mp4,77,56,ok
D:\deep_learning_datasets\deep_learning\data\keypoints\a_0017.npy,a,0,a_0019.mp4,77,77,ok
D:\deep_learning_datasets\deep_learning\data\keypoints\a_0018.npy,a,0,a_0020.mp4,76,76,ok
D:\deep_learning_datasets\deep_learning\data\keypoints\a_0019.npy,a,0,D0489.mp4,93,44,ok
D:\deep_learning_datasets\deep_learning\data\keypoints\aa_0000.npy,aa,1,aa_0002.mp4,76,66,ok
D:\deep_learning_datasets\deep_learning\data\keypoints\aa_0001.npy,aa,1,aa_0003.mp4,77,62,ok
D:\deep_learning_datasets\deep_learning\data\keypoints\aa_0002.npy,aa,1,aa_0004.mp4,76,73,ok
D:\deep_learning_datasets\deep_learning\data\keypoints\aa_0003.npy,aa,1,aa_0005.mp4,75,68,ok
D:\deep_learning_datasets\deep_learning\data\keypoints\aa_0004.npy,aa,1,aa_0006.mp4,76,69,ok
D:\deep_learning_datasets\deep_learning\data\keypoints\aa_0005.npy,aa,1,aa_0007.mp4,77,69,ok
D:\deep_learning_datasets\deep_learning\data\keypoints\aa_0006.npy,aa,1,aa_0008.mp4,76,67,ok
D:\deep_learning_datasets\deep_learning\data\keypoints\aa_0007.npy,aa,1,aa_0009.mp4,77,63,ok
D:\deep_learning_datasets\deep_learning\data\keypoints\aa_0008.npy,aa,1,aa_0010.mp4,77,72,ok
D:\deep_learning_datasets\deep_learning\data\keypoints\aa_0009.npy,aa,1,aa_0011.mp4,76,64,ok
D:\deep_learning_datasets\deep_learning\data\keypoints\aa_0010.npy,aa,1,aa_0012.mp4,75,74,ok
D:\deep_learning_datasets\deep_learning\data\keypoints\aa_0011.npy,aa,1,aa_0013.mp4,76,56,ok
D:\deep_learning_datasets\deep_learning\data\keypoints\aa_0012.npy,aa,1,aa_0014.mp4,76,69,ok
D:\deep_learning_datasets\deep_learning\data\keypoints\aa_0013.npy,aa,1,aa_0015.mp4,75,47,ok
D:\deep_learning_datasets\deep_learning\data\keypoints\aa_0014.npy,aa,1,aa_0016.mp4,76,71,ok
D:\deep_learning_datasets\deep_learning\data\keypoints\aa_0015.npy,aa,1,aa_0017.mp4,76,59,ok
D:\deep_learning_datasets\deep_learning\data\keypoints\aa_0016.npy,aa,1,aa_0018.mp4,77,70,ok
D:\deep_learning_datasets\deep_learning\data\keypoints\aa_0017.npy,aa,1,aa_0019.mp4,77,64,ok
D:\deep_learning_datasets\deep_learning\data\keypoints\aa_0018.npy,aa,1,aa_0020.mp4,75,61,ok
D:\deep_learning_datasets\deep_learning\data\keypoints\aa_0019.npy,aa,1,D0491N.mp4,111,58,ok
D:\deep_learning_datasets\deep_learning\data\keypoints\aw_0000.npy,aw,2,aw_0002.mp4,76,48,ok
D:\deep_learning_datasets\deep_learning\data\keypoints\aw_0001.npy,aw,2,aw_0003.mp4,76,56,ok
D:\deep_learning_datasets\deep_learning\data\keypoints\aw_0002.npy,aw,2,aw_0004.mp4,76,44,ok
D:\deep_learning_datasets\deep_learning\data\keypoints\aw_0003.npy,aw,2,aw_0005.mp4,76,48,ok
D:\deep_learning_datasets\deep_learning\data\keypoints\aw_0004.npy,aw,2,aw_0006.mp4,77,51,ok
D:\deep_learning_datasets\deep_learning\data\keypoints\aw_0005.npy,aw,2,aw_0007.mp4,76,47,ok
D:\deep_learning_datasets\deep_learning\data\keypoints\aw_0006.npy,aw,2,aw_0008.mp4,75,54,ok
D:\deep_learning_datasets\deep_learning\data\keypoints\aw_0007.npy,aw,2,aw_0009.mp4,76,48,ok
D:\deep_learning_datasets\deep_learning\data\keypoints\aw_0008.npy,aw,2,aw_0010.mp4,75,52,ok
D:\deep_learning_datasets\deep_learning\data\keypoints\aw_0009.npy,aw,2,aw_0011.mp4,75,50,ok
D:\deep_learning_datasets\deep_learning\data\keypoints\aw_0010.npy,aw,2,aw_0012.mp4,77,54,ok
D:\deep_learning_datasets\deep_learning\data\keypoints\aw_0011.npy,aw,2,aw_0013.mp4,76,53,ok
D:\deep_learning_datasets\deep_learning\data\keypoints\aw_0012.npy,aw,2,aw_0014.mp4,76,51,ok
D:\deep_learning_datasets\deep_learning\data\keypoints\aw_0013.npy,aw,2,aw_0015.mp4,76,53,ok
D:\deep_learning_datasets\deep_learning\data\keypoints\aw_0014.npy,aw,2,aw_0016.mp4,76,46,ok
